flight_no,airline,dep_time,duration,stop,arr_time,price1,price2,price3
6.00E-271,IndiGo ,9:20,1h 0m,0 Stop,10:20,1723,1723,1723
6.00E-253,IndiGo ,11:50,1h 5m,0 Stop,12:55,1468,1468,1129
6.00E-238,IndiGo ,13:00,1h 5m,0 Stop,14:05,1468,1468,1129
6.00E-232,IndiGo ,21:25,1h 5m,0 Stop,22:30,2136,2136,2136
6E-6011 ,IndiGo ,14:05,1h 5m,0 Stop,15:10,1723,1723,1723
6E-6217 ,IndiGo ,22:35,0h 50m,0 Stop,23:25,2136,2136,2136
6E-727 ,IndiGo ,18:50,0h 55m,0 Stop,19:45,1940,1940,1940
6E-806 ,IndiGo ,19:35,1h 0m,0 Stop,20:35,1468,1468,1129
6E-847 ,IndiGo ,17:15,1h 5m,0 Stop,18:20,1940,1940,1940
AI-143/801 ,Air India ,8:40,13h 15m,1 Stop,21:55,6601,6601,6601
AI-143/803 ,Air India ,8:40,24h 15m,1 Stop,8:55,6601,6601,6601
AI-143/88 ,Air India ,8:40,11h 45m,1 Stop,20:25,6601,6601,6601
AI-43/174 ,Air India ,21:05,22h 55m,1 Stop,20:00,6601,6601,6601
AI-43/504 ,Air India ,21:05,26h 10m,1 Stop,23:15,6601,6601,6601
AI-43/506 ,Air India ,21:05,15h 25m,1 Stop,12:30,6601,6601,6601
AI-43/803 ,Air India ,21:05,11h 50m,1 Stop,8:55,6601,6601,6601
AI-430/506 ,Air India ,9:55,26h 35m,1 Stop,12:30,6601,6601,6601
AI-430/801 ,Air India ,9:55,12h ,1 Stop,21:55,6601,6601,6601
AI-430/803 ,Air India ,9:55,23h ,1 Stop,8:55,6601,6601,6601
AI-430/88 ,Air India ,9:55,10h 30m,1 Stop,20:25,6601,6601,6601
AI-440/801 ,Air India ,6:10,15h 45m,1 Stop,21:55,6601,6601,6601
AI-440/88 ,Air India ,6:10,14h 15m,1 Stop,20:25,6601,6601,6601
AI-545/515 ,Air India ,20:40,13h 50m,1 Stop,10:30,3904,3904,3904
AI-545/978 ,Air India ,20:40,7h 55m,1 Stop,4:35,3396,3396,3396
AI-569/508 ,Air India ,6:20,12h ,1 Stop,18:20,4606,4606,4606
AI-569/603 ,Air India ,6:20,25h 35m,1 Stop,7:55,4606,4606,4606
AI-569/607 ,Air India ,6:20,12h 10m,1 Stop,18:30,4606,4606,4606
AI-569/639 ,Air India ,6:20,4h 50m,1 Stop,11:10,4606,4606,4606
AI-672/603 ,Air India ,14:55,17h ,1 Stop,7:55,4606,4606,4606
AI-672/607 ,Air India ,14:55,27h 35m,1 Stop,18:30,4606,4606,4606
AI-672/639 ,Air India ,14:55,20h 15m,1 Stop,11:10,4606,4606,4606
AI-766/775 ,Air India ,11:35,11h 45m,1 Stop,23:20,6601,6601,6076
AI-93/603 ,Air India ,21:35,10h 20m,1 Stop,7:55,4606,4606,4606
AI-93/607 ,Air India ,21:35,20h 55m,1 Stop,18:30,4606,4606,4606
AI-93/609 ,Air India ,21:35,24h 10m,1 Stop,21:45,4606,4606,4606
AI-93/639 ,Air India ,21:35,13h 35m,1 Stop,11:10,4606,4606,4606
I5-2380 ,AirAsia (India) ,22:55,1h 15m,0 Stop,0:10,1114,1114,1099
I5-2392 ,AirAsia (India) ,8:25,1h 0m,0 Stop,9:25,1449,1449,1449
I5-347 ,AirAsia (India) ,20:30,1h 15m,0 Stop,21:45,1114,1114,1099
SG-1063 ,SpiceJet Ltd ,7:20,1h 10m,0 Stop,8:30,1400,1400,1097
SG-3023/3466 ,SpiceJet Ltd ,20:25,15h 45m,1 Stop,12:10,3720,3720,3688
SG-3073 ,SpiceJet Ltd ,10:05,1h 25m,0 Stop,11:30,1400,1400,1097
SG-3301 ,SpiceJet Ltd ,6:05,1h 15m,0 Stop,7:20,1400,1400,1097
SG-3307 ,SpiceJet Ltd ,19:50,1h 5m,0 Stop,20:55,1400,1400,1097
SG-3309 ,SpiceJet Ltd ,17:00,0h 55m,0 Stop,17:55,1400,1400,1097
SG-3408 ,SpiceJet Ltd ,9:15,1h 10m,0 Stop,10:25,1400,1400,1097
SG-501/3083 ,SpiceJet Ltd ,9:10,9h 30m,1 Stop,18:40,3720,3720,3688
UK-822/849 ,Vistara ,14:35,4h 40m,1 Stop,19:15,4129,4129,4129
UK-822/849 ,Vistara ,14:35,4h 40m,1 Stop,19:15,5669,5669,5669
UK-822/857 ,Vistara ,14:35,8h 15m,1 Stop,22:50,4129,4129,4129
UK-822/857 ,Vistara ,14:35,8h 15m,1 Stop,22:50,5669,5669,5669
UK-822/865 ,Vistara ,14:35,6h 10m,1 Stop,20:45,4129,4129,4129
UK-822/865 ,Vistara ,14:35,6h 10m,1 Stop,20:45,5669,5669,5669
UK-824/845 ,Vistara ,20:45,10h 50m,1 Stop,7:35,4129,4129,4129
UK-824/845 ,Vistara ,20:45,10h 50m,1 Stop,7:35,5669,5669,5669
UK-824/851 ,Vistara ,20:45,11h 50m,1 Stop,8:35,4129,4129,4129
UK-824/851 ,Vistara ,20:45,11h 50m,1 Stop,8:35,5669,5669,5669
UK-826/849 ,Vistara ,12:20,6h 55m,1 Stop,19:15,4129,4129,4129
UK-826/849 ,Vistara ,12:20,6h 55m,1 Stop,19:15,5669,5669,5669
UK-826/853 ,Vistara ,12:20,5h 25m,1 Stop,17:45,4129,4129,4129
UK-826/853 ,Vistara ,12:20,5h 25m,1 Stop,17:45,5669,5669,5669
UK-826/857 ,Vistara ,12:20,10h 30m,1 Stop,22:50,4129,4129,4129
UK-826/857 ,Vistara ,12:20,10h 30m,1 Stop,22:50,5669,5669,5669
UK-826/865 ,Vistara ,12:20,8h 25m,1 Stop,20:45,4129,4129,4129
UK-826/865 ,Vistara ,12:20,8h 25m,1 Stop,20:45,5669,5669,5669
UK-828/849 ,Vistara ,7:10,12h 05m,1 Stop,19:15,4129,4129,4129
UK-828/849 ,Vistara ,7:10,12h 05m,1 Stop,19:15,5669,5669,5669
UK-828/853 ,Vistara ,7:10,10h 35m,1 Stop,17:45,4129,4129,4129
UK-828/853 ,Vistara ,7:10,10h 35m,1 Stop,17:45,5669,5669,5669
UK-828/857 ,Vistara ,7:10,15h 40m,1 Stop,22:50,4129,4129,4129
UK-828/857 ,Vistara ,7:10,15h 40m,1 Stop,22:50,5669,5669,5669
UK-828/865 ,Vistara ,7:10,13h 35m,1 Stop,20:45,4129,4129,4129
UK-828/865 ,Vistara ,7:10,13h 35m,1 Stop,20:45,5669,5669,5669
UK-832/807 ,Vistara ,7:05,16h 15m,1 Stop,23:20,7095,7095,6529
UK-832/807 ,Vistara ,7:05,16h 15m,1 Stop,23:20,9025,9025,9025
UK-832/813 ,Vistara ,7:05,13h 20m,1 Stop,20:25,7095,7095,6529
UK-832/813 ,Vistara ,7:05,13h 20m,1 Stop,20:25,9025,9025,9025
UK-832/817 ,Vistara ,7:05,11h 45m,1 Stop,18:50,7095,7095,6529
UK-832/817 ,Vistara ,7:05,11h 45m,1 Stop,18:50,9025,9025,9025
UK-832/819 ,Vistara ,7:05,9h 45m,1 Stop,16:50,7095,7095,6529
UK-834/807 ,Vistara ,17:10,6h 10m,1 Stop,23:20,7095,7095,6529
UK-834/807 ,Vistara ,17:10,6h 10m,1 Stop,23:20,9025,9025,9025
UK-834/811 ,Vistara ,17:10,15h 55m,1 Stop,9:05,7095,7095,6529
UK-834/811 ,Vistara ,17:10,15h 55m,1 Stop,9:05,9025,9025,9025
UK-834/815 ,Vistara ,17:10,17h 40m,1 Stop,10:50,7095,7095,6529
UK-834/815 ,Vistara ,17:10,17h 40m,1 Stop,10:50,9025,9025,9025
UK-834/819 ,Vistara ,17:10,23h 40m,1 Stop,16:50,7095,7095,6529
UK-838/807 ,Vistara ,21:05,26h 15m,1 Stop,23:20,6951,6951,6385
UK-838/807 ,Vistara ,21:05,26h 15m,1 Stop,23:20,8281,8281,8281
UK-838/811 ,Vistara ,21:05,12h ,1 Stop,9:05,6951,6951,6385
UK-838/811 ,Vistara ,21:05,12h ,1 Stop,9:05,8281,8281,8281
UK-838/813 ,Vistara ,21:05,23h 20m,1 Stop,20:25,6951,6951,6385
UK-838/813 ,Vistara ,21:05,23h 20m,1 Stop,20:25,8281,8281,8281
UK-838/815 ,Vistara ,21:05,13h 45m,1 Stop,10:50,6951,6951,6385
UK-838/815 ,Vistara ,21:05,13h 45m,1 Stop,10:50,8281,8281,8281
UK-838/817 ,Vistara ,21:05,21h 45m,1 Stop,18:50,6951,6951,6385
UK-838/817 ,Vistara ,21:05,21h 45m,1 Stop,18:50,8281,8281,8281
UK-838/819 ,Vistara ,21:05,19h 45m,1 Stop,16:50,6951,6951,6385
